wildapricot-textmanager-config,,,,,,,
Wild Apricot Reference,Default Text,English Replacement Text,Alternate Language Text,Notes,Function,Query,Style
Membership levels,"Description:
- Category B (base 1) members represent territorial or national associations who’s income is superior to 70 000€
- Category B membership to ICA gives you the right to vote at the Annual General Assembly (2 votes) and to become a member of the Forum of Professional Associations (FPA).",,"Description :  - Les membres de catégorie B (base 1) représentent des associations territoriales ou nationales qui ont un revenu supérieur à 70 000€ - Etre membre B de l’ICA vous donne le droit de vote à l’Assemblée générale annuelle (2 votes). Vous devenez également membre de la Section des Associations Professionnelles (SPA).",,replace_delay,.levelDescription,
Membership levels,"Description: - Category B (base 2) members represent territorial or national associations who’s income is between 30 000€ and 70 000€
- Category B membership to ICA gives you the right to vote at the Annual General Assembly (2 votes) and to become a member of the Forum of Professional Associations (FPA).",,"Description :  - Les membres de catégorie B (base 2) représentent des associations territoriales ou nationales qui ont un revenu allant de 30 000€ à 70 000€ - Etre membre B de l’ICA vous donne le droit de vote à l’Assemblée générale annuelle (2 votes). Vous devenez également membre de la Section des Associations Professionnelles (SPA).",,replace_delay,.levelDescription,
Membership levels,"Description:
- Category B (base 3) members represent territorial or national associations who’s income is between 10 000€ and 30 000€
- Category B membership to ICA gives you the right to vote at the Annual General Assembly (2 votes) and to become a member of the Forum of Professional Associations (FPA).",,"Description :  - Les membres de catégorie B (base 3) représentent des assiciations territoriales ou nationales qui ont un revenu allant de 10 000€ à 30 000€ - Etre membre B de l’ICA vous donne le droit de vote à l’Assemblée générale annuelle (2 votes). Vous devenez également membre de la Section des Associations Professionnelles (SPA).",,replace_delay,.levelDescription,
Membership levels,"Description:
- Category B (base 4) members represent territorial or national associations who’s income is between 2 000€ and 10 000€
- Category B membership to ICA gives you the right to vote at the Annual General Assembly (2 votes) and to become a member of the Forum of Professional Associations (FPA).",,"Description :  - Les membres de catégorie B (base 4) représentent des associations territoriales ou nationales qui ont un revenu allant de 2 000€ à 10 000€ - Etre membre B de l’ICA vous donne le droit de vote à l’Assemblée générale annuelle (2 votes). Vous devenez également membre de la Section des Associations Professionnelles (SPA).",,replace_delay,.levelDescription,
Membership levels,"Description:
- Category B (base 5) members represent territorial or national associations who’s income is between 0€ and 2000€
- Category B membership to ICA gives you the right to vote at the Annual General Assembly (2 votes) and to become a member of the Forum of Professional Associations (FPA).",,"Description :  - Les membres de catégorie B (base 5) représentent des assiciations territoriales ou nationales qui ont un revenu allant de 0€ à 2 000€ - Etre membre B de l’ICA vous donne le droit de vote à l’Assemblée générale annuelle (2 votes). Vous devenez également membre de la Section des Associations Professionnelles (SPA).",,replace_delay,.levelDescription,
Membership levels,"Description:
- Category C members represent a local, territorial, national or international institution concerned with the administration or preservation of records and archives or in archival training and education.
- Category C membership to ICA gives you the right to vote at the Annual General Assembly (2 votes)",,"Description :  - Les membres de catégorie C représentent toute institution locale, nationale ou internationale dont l’objet est l’administration ou la conservation des documents et des archives ou la formation initiale et continue des archivistes. - Etre membre C de l’ICA vous donne le droit de vote à l’Assemblée générale annuelle (2 votes).",,replace_delay,.levelDescription,
Membership levels,"Description:
- Individual members benefit from all the advantages of a complete membership to ICA which includes a hard copy of the professional journal Publication Comma. 
- Category D (Individual) membership to ICA gives you the right to vote at the Annual General Assembly (1 vote)",,"Description :  - Les membres individuels bénéficient de tous les avantages d'un adhésion complète à l'ICA qui incluent une version physique du journal professionnel Comma.  - Etre membre D (individuel) de l’ICA vous donne le droit de vote à l’Assemblée générale annuelle (1 vote).",,replace_delay,.levelDescription,
Membership levels,"Description:
- Digital members benefit from all the advantages of a complete membership to ICA and receive the ICA publications in digital format only. 
- Category D (Digital) membership to ICA gives you the right to vote at the Annual General Assembly (1 vote)",,"Description :  - Les membres numériques bénéficient de tous les avantages d'un adhésion complète à l'ICA et recoivent toutes les publications de l'ICA en version numérique seulement - Etre membre D (Numérique) de l’ICA vous donne le droit de vote à l’Assemblée générale annuelle (1 vote).",,replace_delay,.levelDescription,
Membership levels,"Description:
- The reduced price of the category D digital membership is open to students, retired people and unemployed people.  It includes the same benefits as the regular digital D membership.
- Category D (Digital - reduced) membership to ICA gives you the right to vote at the Annual General Assembly (1 vote)",,"Description :  - Le prix réduit de l'adhésion de catégorie D numérique est ouvert aux étudiants, retraités et personnes sans emplois. Il inclus les mêmes avantages que la catégorie D numérique.  - Etre membre D (Numérique - réduit) de l’ICA vous donne le droit de vote à l’Assemblée générale annuelle (1 vote).",,replace_delay,.levelDescription,
Membership levels,&#45; Free,&nbsp;,&nbsp;,,inactive,.levelPrice,
Membership levels,- Free,-,-,,replace,,
Membership levels,- Free,,,,inactive,#idMembershipLevelRadioGroupContainer > div > div.fieldBody,
Membership levels,Category,,Catégorie,,replace,.labelTitle,
Membership levels,Category,,Catégorie,,replace,#confirmationTable > tbody > tr > td.infoColumn > span,
Membership levels,Category,,Catégorie,,replace,#idMemberInvoiceDetailsForm > div.formContainer > div > div.sectionOuterContainer > div > div > div > div > div > div > div > div > div.d8 > div > div > div:nth-child(5) > div > div.fieldBody > span > div,
Membership levels,Category,,Catégorie,,replace,#FunctionalBlock1_ctl00_memberApplicationMain_ctl00_stepTemplate_selectedLevel_levelLabel,
Membership levels,Category,,Catégorie,,replace,#FunctionalBlock1_ctl00_ctl00_stepTemplate_renewalHeader_level_levelLabel,
Membership levels,Category,,Catégorie,,replace,#FunctionalBlock1_ctl00_ctl00_memberProfile_membershipDetails,
Membership levels,One Year of Arrears,,Une année d'arriérés,,replace,,
Membership levels,Base,,Base,,replace,.labelTitle,
Membership levels,Digital,,Numérique,,replace,.labelTitle,
Membership levels,Digital,,Numérique,,replace,#confirmationTable > tbody > tr > td.infoColumn > span,
Membership levels,Digital,,Numérique,,replace,#idMemberInvoiceDetailsForm > div.formContainer > div > div.sectionOuterContainer > div > div > div > div > div > div > div > div > div.d8 > div > div > div:nth-child(5) > div > div.fieldBody > span > div,
Membership levels,Digital,,Numérique,,replace,#FunctionalBlock1_ctl00_memberApplicationMain_ctl00_stepTemplate_selectedLevel_levelLabel,
Membership levels,Digital,,Numérique,,replace,#FunctionalBlock1_ctl00_ctl00_memberProfile_membershipDetails,
Membership levels,Individual,,Indiividuel,,replace,.labelTitle,
Membership levels,Individual,,Indiividuel,,replace,#idMemberInvoiceDetailsForm > div.formContainer > div > div.sectionOuterContainer > div > div > div > div > div > div > div > div > div.d8 > div > div > div:nth-child(5) > div > div.fieldBody > span > div,
Membership levels,Individual,,Indiividuel,,replace,#FunctionalBlock1_ctl00_memberApplicationMain_ctl00_stepTemplate_selectedLevel_levelLabel,
Membership levels,Individual,,Indiividuel,,replace,#FunctionalBlock1_ctl00_ctl00_memberProfile_membershipDetails,
Membership levels,Honorary,,Honoraire,,replace,#confirmationTable > tbody > tr > td.infoColumn > span,
Membership levels,Honorary,,Honoraire,,replace,#FunctionalBlock1_ctl00_ctl00_memberProfile_membershipDetails,
Membership levels,Secretariat,,Secrétarial,,replace,,
Membership levels,Secretariat,,Secrétarial,,replace,#FunctionalBlock1_ctl00_ctl00_memberProfile_membershipDetails,
Membership levels,members,rights holders,ayants droit,Must be first,replace,.levelBundle,
Membership levels,members,rights holders,ayants droit,Must be first,replace,.levelBundle,
Membership levels,members,rights holders,ayants droit,Must be first,replace,#FunctionalBlock1_ctl00_ctl00_stepTemplate_renewalHeader_level_group,
Membership levels,Reduced,,Réduit,,replace,#FunctionalBlock1_ctl00_ctl00_memberProfile_membershipDetails,
Membership levels,Bundle,Institutional Membership,Adhésion Institutionnelle,Must be second,replace,,
Membership levels,up to,,jusqu’à,,replace,.levelBundle,
Membership levels,up to,,jusqu’à,,replace,#FunctionalBlock1_ctl00_ctl00_stepTemplate_renewalHeader_level_group,
Membership levels,Subscription period:,,Période d’adhésion : ,,replace,,
Membership levels,Unlimited,,illimité,,replace,,
Membership levels,Central or National Archives,,Archives Centrales ou Archives Nationales,,replace,,
Membership levels,No automatically recurring payments,,Pas de paiements récurrents automatiques,,Hide,,
Membership levels,International Association,,Association Internationale,,replace,,
Membership levels,Territorial or National Association,,Association Territoriale ou Nationale,,replace,,
Membership levels,Institution Managing Archives or Records or Involved on Archival Training,,Institution gérant des archives ou des documents ou participant à la formation en archivistique,,replace,,
Membership levels,"Reduced rate for students, retired and unwaged persons",,"Taux réduit pour les étudiants, les retraités et les personnes sans emploi.",,replace,,
Membership levels,Reduced,,Réduit,,replace,,
Membership levels,Reduced,,Réduit,,replace,#FunctionalBlock1_ctl00_memberApplicationMain_ctl00_stepTemplate_selectedLevel_levelLabel,
Membership levels,Join us,,Rejoignez-nous,,text,#id_CnQr8eJ > div > h1,
Membership levels,Join us,,Selection d’une catégorie de membre,,text,#id_CnQr8eJ > div > h1,
Membership levels,"year, on",,"an, le",,replace,#idMembershipLevelRadioGroupContainer > div > div.fieldBody,
Membership levels,"Here you can write about your membership levels, organization rules, or payment instructions.",,"Vous pouvez y décrire les niveaux d'adhésion, les règles d'organisation ou les instructions de paiement.",,text,#id_CnQr8eJ > div > p > span,
Membership levels,Please note: full price of the new membership term will be billed. No refund will be done. Contact your site administrator if you are expecting a refund.,,Veuillez noter que le prix total de la nouvelle période d'adhésion sera facturé. Aucun remboursement ne sera effectué. Contactez l'administrateur de votre site si vous attendez un remboursement.,,text,#FunctionalBlock1_ctl00_ctl00_stepTemplate_upgradeWarningBox_messageText,
Bundle Summary,member,rights holder,ayant droit,,replace,#FunctionalBlock1_ctl00_ctl00_memberProfile_hlBundle,
Bundle Summary,linked,,lié à,,replace,#FunctionalBlock1_ctl00_ctl00_memberProfile_hlBundle,
Bundle Summary,Linked members,Linked rights holder(s),Ayant(s) des droits liés,,replace,#idMemberDirectoryDetailsContainer > div.memberDirectoryDetailsContainer > div > div > div > div > div > div > div > div > div > div > div.formOuterContainer > div.formContainer > div > div > div > div > div > div > div > div > div > div > div > div.generalFieldsContainer > div > div > div > div > div > div > div > div > div > div > div.memberDirectoryContainer > div > div > div > div > div > div > div > div > div > div > div.memberDirectory > h5,
Bundle Summary,Linked to,,Lié à,,text,#FunctionalBlock1_ctl00_ctl00_memberProfile_lblBundle,
,,,\,,,,
Join Us,Next ,,Suivant,,button,#FunctionalBlock1_ctl00_memberApplicationMain_ctl00_stepTemplate_next,
Join Us,Level,,Niveau,,replace,#FunctionalBlock1_ctl00_memberApplicationMain_ctl00_stepTemplate_selectedLevel_levelText,
Join Us,Email,,Adresse courriel,,replace,#idSectionIdentifyUserContainer > div.sectionContainer > div > div > div > div > div > div > div > div > div > div > div:nth-child(1) > div > table > tbody > tr > td.left > div > strong,
Join Us,Cancel ,,Annuler,,button,#FunctionalBlock1_ctl00_memberApplicationMain_ctl00_stepTemplate_cancel,
Join Us,Back,,Retour,,button,#FunctionalBlock1_ctl00_memberApplicationMain_ctl00_stepTemplate_prev,
Join Us,Next,,Suivant,,button,#FunctionalBlock1_ctl00_memberApplicationMain_ctl00_stepTemplate_next,
Join Us,"This email is already in our database, please log in. (Do not have your password? Use forgot password button)",," Cet adresse courriel est déjà dans notre base de données, veuillez vous connecter. (Vous n'avez pas votre mot de passe ? Utilisez le bouton ""Mot de passe oublié"")",,text,#FunctionalBlock1_ctl00_memberApplicationMain_ctl00_stepTemplate_memberExistsMessage_idConfirmWindowStyle > div.cww-inner > div > div.text,
Join Us,Forgot password,,Mot de passe oublié,,button,#FunctionalBlock1_ctl00_memberApplicationMain_ctl00_stepTemplate_memberExistsMessage_forgotPasswordButton,
Join Us,Apply to two branches,,Postulez à deux branches,,text,#FunctionalBlock1_ctl00_memberApplicationMain_ctl00_stepTemplate_wizardMemberForm_memberForm_memberFormRepeater_ctl32_termsOfUse14456406 > div > span.label > label > span > a,
Join Us,Your application has been submitted and is being reviewed. It will be activated upon approval and receipt of payment.,,Votre demande a été soumise et est en cours d'examen. Elle sera activée après approbation et réception du paiement.,,text,#FunctionalBlock1_ctl00_ctl00_Membership_applicationUnpaidMessageBox_idConfirmWindowStyle > div.cww-inner > div > div.text > span,
Join Us,View/Pay Invoice,,Afficher/Payer la facture,,button,#FunctionalBlock1_ctl00_ctl00_Membership_applicationUnpaidMessageBox_viewPayApplicationInvoiceButton,
Join Us,Never,,Jamais,,replace,#idExpirationDateContainer > div > div.fieldBody,
Join Us,Review and confirm,,Examiner et confirmer,,replace_element,#FunctionalBlock1_ctl00_memberApplicationMain_ctl00_stepTemplate_infoMessageBox_messageHeader,
Join Us,Cancel,,Annuler,,button,#FunctionalBlock1_ctl00_memberApplicationMain_ctl00_stepTemplate_cancelTop,
Join Us,Back,,Retour,,button,#FunctionalBlock1_ctl00_memberApplicationMain_ctl00_stepTemplate_prevTop,
Join Us,Invoice Me,,Me Facturer,,button,#FunctionalBlock1_ctl00_memberApplicationMain_ctl00_stepTemplate_nextTop,
Join Us,Pay online,,Payer en ligne,,button,#FunctionalBlock1_ctl00_memberApplicationMain_ctl00_stepTemplate_payOnlineTop,
Join Us,members\),rights holders\),ayants droit\),,replace,.levelBundle,
Join Us,No automatically recurring payments,,,,hide,.levelRecurring,
Join Us,Select membership level,Select membership category,Select catégorie de membre,,replace_element,#idGeneralFormContainer > div.generalFormContainer > div > div > div > div > div > div > div > div > div > div > div.formOuterContainer > div.formContainer > div > div > div > div > div > div > div > div > div > div > div.formTitleOuterContainer > div.formTitleContainer > div,
Join Us,No automatically recurring payments,,,,hide,#FunctionalBlock1_ctl00_memberApplicationMain_ctl00_stepTemplate_selectedLevel_recurring,
Join Us,Enter your email,,Entrez votre courriel,,replace_element,#idGeneralFormContainer > div.generalFormContainer > div > div > div > div > div > div > div > div > div > div > div:nth-child(2) > div.formContainer > div > div > div > div > div > div > div > div > div > div > div.formTitleOuterContainer > div.formTitleContainer > div > div > div > div > div > div > div > div > div > div > h3,
Join Us,Fill in application form,,Remplissez le formulaire de demande.,,replace_element,#idGeneralFormContainer > div.generalFormContainer > div > div > div > div > div > div > div > div > div > div > div:nth-child(2) > div.formContainer > div > div > div > div > div > div > div > div > div > div > div.formTitleOuterContainer > div.formTitleContainer > div > div > div > div > div > div > div > div > div > div > h3,
Join Us,Total amount,,Montant total,,replace,#confirmationTable > tbody > tr > td.labelInfoColumn,
Join Us,Application data,,Données d'application,,replace_element,#idGeneralFormContainer > div.generalFormContainer > div > div > div > div > div > div > div > div > div > div > div:nth-child(3) > div.formContainer > div > div > div > div > div > div > div > div > div > div > div.formTitleOuterContainer > div.formTitleContainer > div > div > div > div > div > div > div > div > div > div > h3,
Join Us,Apply to two branches,,Postulez à deux branches,,replace_element,#FunctionalBlock1_ctl00_memberApplicationMain_ctl00_stepTemplate_memberForm_memberFormRepeater_ctl31_TermsOfUse14456316 > li > a,
Join Us,Apply to two branches,,Postulez à deux branches,,replace_element,#FunctionalBlock1_ctl00_ctl00_MemberForm_memberFormRepeater_ctl44_TermsOfUse14456316 > li > a,
Join Us,Invalid email,,Courriel non valide,,replace_element,#FunctionalBlock1_ctl00_memberApplicationMain_ctl00_stepTemplate_validator_EmailFormat,
,,,,,,,
SitePage,Join us,,Rejoignez-nous,,replace,title .WaGadgetMenuHorizontal .WaGadgetMenuVertical .WaGadgetSiteMap .WaGadgetNavigationLinks .WaGadgetBreadcrumbs,
SitePage,Members Map,,Carte des membres,,replace,title .WaGadgetMenuHorizontal .WaGadgetMenuVertical .WaGadgetSiteMap .WaGadgetNavigationLinks .WaGadgetBreadcrumbs,
SitePage,News,,Nouvelles,,replace,title .WaGadgetMenuHorizontal .WaGadgetMenuVertical .WaGadgetSiteMap .WaGadgetNavigationLinks .WaGadgetBreadcrumbs,
SitePage,Online Store,,Boutique en ligne ,,replace,title .WaGadgetMenuHorizontal .WaGadgetMenuVertical .WaGadgetSiteMap .WaGadgetNavigationLinks .WaGadgetBreadcrumbs,
SitePage,Themes,,Des thèmes,,replace,title .WaGadgetMenuHorizontal .WaGadgetMenuVertical .WaGadgetSiteMap .WaGadgetNavigationLinks .WaGadgetBreadcrumbs,
SitePage,Professional forum,,Forum Professionel,,replace,title .WaGadgetMenuHorizontal .WaGadgetMenuVertical .WaGadgetSiteMap .WaGadgetNavigationLinks .WaGadgetBreadcrumbs,
SitePage,Social forum,,Forum social,,replace,title .WaGadgetMenuHorizontal .WaGadgetMenuVertical .WaGadgetSiteMap .WaGadgetNavigationLinks .WaGadgetBreadcrumbs,
SitePage,Members-only content,,Contenu réservé aux membres,,replace,title .WaGadgetMenuHorizontal .WaGadgetMenuVertical .WaGadgetSiteMap .WaGadgetNavigationLinks .WaGadgetBreadcrumbs,
SitePage,Members Poll,,Sondage des membres,,replace,title .WaGadgetMenuHorizontal .WaGadgetMenuVertical .WaGadgetSiteMap .WaGadgetNavigationLinks .WaGadgetBreadcrumbs,
SitePage,Generate Certificate,,Générer un certificat,,replace,title .WaGadgetMenuHorizontal .WaGadgetMenuVertical .WaGadgetSiteMap .WaGadgetNavigationLinks .WaGadgetBreadcrumbs,
,,,,,,,
MultipleGadgets,Save,,Enregistrer,,button,"input[value=""Save""]",
MultipleGadgets,Cancel,,Annuler,,inactive,input[value=“Cancel”],
MultipleGadgets,Cancel,,Annuler,,button,input[value=“Cancel”],
MultipleGadgets,Cancel,,Annuler,,button,#FunctionalBlock1_ctl00_ctl00_cancelButton,
MultipleGadgets,Login,,Accès,,button,"input[value=""Login""]",
MultipleGadgets,Cancel,,Annuler,,button,#FunctionalBlock1_ctl00_ctl00_cancelButtonTop,
MultipleGadgets,View / Pay invoice,,Voir / payer la facture,This is disabled because it seems to cause a crash in the replacement process,Inactive,"input[#FunctionalBlock1_ctl00_ctl00_Membership_applicationUnpaidMessageBox_viewPayApplicationInvoiceButtonvalue=""View / Pay Invoice""]",
MultipleGadgets,Done,,Terminé,,button,"input[value=""Done""]",
MultipleGadgets,Cancel,,Annuler,,button,#FunctionalBlock1_ctl00_ctl00_cancelButton,
MultipleGadgets,Cancel,,Annuler,,button,#FunctionalBlock1_ctl00_ctl00_cancelButtonTop,
,,,,,,,
PASSWORD MANAGEMENT,,,,,,,
Change Password/Top Login box link,,,,,,,
Log out ,Log out,,Se déconnecter,,replace,a.loginBoxLogout,
Log in ,Log in,,Se connecter,,replace,a.loginBoxLinkButton,
Translation in Gadget Required,Please log in to continue,,Veuillez vous connecter pour continuer,,text,#id_vYBwh32 > div > h3,
Translation in Gadget Required,Please login to continue to the page you have requested.,,Veuillez vous connecter pour continuer sur la page que vous avez demandée.,,text,#id_vYBwh32 > div > p,
,,,,,,,
Sys/Change password,,,,,,,
Sys/Change password,Change password ,,Changer le mot de passe,,replace,#id_kZ3ILBA > div > h2,
Sys/Change password,Change password for,,Changer le mot de passe pour,,replace,#id_kZ3ILBA > div > h2,
Sys/Change password,Current password,,Mot de passe actuel,,replace,#ctl00_ContentArea_OldPasswordLabel,
Sys/Change password,New password,,Nouveau mot de passe,,replace,#ctl00_ContentArea_NewPasswordLabel,
Sys/Change password,Confirm new password,,Confirmer le nouveau mot de passe,,replace,#ctl00_ContentArea_Label1,
Sys/Change password,Save,,Sauvegarder,,button,#ctl00_ContentArea_SubmitNewPasswordBtn,
Sys/Change password,Cancel,,Annuler,,button,#ctl00_ContentArea_CancelBtn,
Password Successful Reset ,Home,,Accueil,,replace,#id_bwHsR1l > div > ul > li:nth-child(1) > a,
Reset password/Reset password request,Submit,,Soumettre,,button,#ctl00_ContentArea_btnSubmitRequest,
Reset password/Reset password request,Confirm new password,,Confirmer le nouveau mot de passe,,replace,#ctl00_ContentArea_NewPasswordConfirmLabel,
Reset password/Reset password request,Set new password,,Définir un nouveau mot de passe,,button,#ctl00_ContentArea_SubmitBtn,
Reset password/Reset password request,Code,,Code,,,,
Reset password request/Breadcrumb,Reset your password ,,Réinitialisation votre mot de passe,,replace,#id_bwHsR1l > div > ul > li.last > span,
Reset password/Reset password request,Your email,,Votre adresse courriel,,replace,#idEmailField > div > table > tbody > tr > td.left > div > strong > span,
Alternative for Your email ,,,,,,.generalFieldsContainer .fieldSubContainer .fieldLabel :not(.mandatorySymbol),
Change Password/Top Link,Change password,,Changer le mot de passe,,replace,#id_IOTD79t > div > a.loginBoxChangePassword,
Change password,Change password,,Changer le mot de passe,,replace,#id_kZ3ILBA > div > h2,
Change password,Change password for,,Changer le mot de passe pour,,replace,#id_GxzIkeM > div.introContainer > div > div > div > div > div > div > div > div > div > div,
Reset password/Reset password request,Current password incorrect,,Mot de passe actuel incorrect,,,,
Reset password/Reset password request,An error occurred during password reset: ,,Une erreur s’est produite durant la réinitialisation de votre mot de passe: ,,,,
Reset password/Reset password request,"Invalid or expired link. To request password reset email again, please follow the link below.",,"Le lien est invalide ou a expiré. Pour demander la réinitialisation de votre mot de passe à nouveau, veuillez suivre le lien ci-dessous.",,,,
Reset password/Reset password request,Passwords do not match,,Les mots de passe ne correspondent pas,,,,
Reset password/Reset password request,Minimum length is 7 characters,,Le mot de passe doit contenir 7 caractàres minimum,,,,
Reset password/Reset password request,"Password reset instructions emailed. If you do not receive our email within a few minutes, please check your junk/spam filters and double-check the email address entered.",,"Les instructions pour réinitialiser votre mot de passe ont été envoyées. Si vous ne recevez pas de courriel dans les prochaines minutes, veuillez regarder dans vos filtres spam/corbeille pour vérifier que vous avez inscrit la bonne adresse.",,,,
Reset password/Reset password request,Please enter your email and we will send instructions on how to reset your password.,,Veuillez indiquer votre adresse de courriel pour recevoir les instructions nécessaire Ã  la réinitialisation de votre mot de passe,,,,
,My profile,,Mon profil,,replace,#id_bwHsR1l > div > ul > li:nth-child(2) > a,
,Change password,,Changer le mot de passe,,replace,#id_bwHsR1l > div > ul > li.last > span,
,Current password incorrect,,Mot de passe actuel incorrect,,replace,#ctl00_ContentArea_OldPasswordCv,
Reset Password request,An error occurred during password reset: ,,Une erreur s’est produite durant la réinitialisation de votre mot de passe: ,,,,
,"Invalid or expired link. To request password reset email again, please follow the link below.",,"Le lien est invalide ou a expiré. Pour demander la réinitialisation de votre mot de passe à nouveau, veuillez suivre le lien ci-dessous.",,,,
,Passwords do not match,,Les mots de passe ne correspondent pas,,replace,#ctl00_ContentArea_NewPasswordsCompareValidator,
,Minimum length is 7 characters,,Le mot de passe doit contenir 7 caractàres minimum,,replace,#ctl00_ContentArea_PasswordMinLengthCustomValidator,
,"Password reset instructions emailed. If you do not receive our email within a few minutes, please check your junk/spam filters and double-check the email ",,"Les instructions pour réinitialiser votre mot de passe ont été envoyées. Si vous ne recevez pas de courriel dans les prochaines minutes, veuillez regarder dans vos filtres spam/corbeille pour vérifier que vous avez inscrit la bonne adresse.",,replace,#ctl00_ContentArea_messageBox_idConfirmWindowStyle > div.cww-inner > div > div,
,Please enter your email and we will send instructions on how to reset your password.,,Veuillez indiquer votre adresse de courriel pour recevoir les instructions nÃ©cessaire Ã  la rÃ©initialisation de votre mot de passe,,replace,#ctl00_ContentArea_messageBox_idConfirmWindowStyle > div.cww-inner > div > div,
,,,,,,,
,Reset password request,,Demande de réinitialisation de mot de passe,,replace,#id_bwHsR1l > div > ul > li.last > span,
Password Reset,Home,,Accueil ,,replace,#id_D1MJu64 > a,
,,,,,,label#recaptcha-anchor-label,
AUTHORIZATION REQUIRED,,,,,,,
Sys/Authorization required,,,,,,,
Authorization required,Email,,Courriel,,replace,#idLoginBox > span.mandatory,
Authorization required,Password,,Mot de passe,,replace,#idPasswordBox > span.mandatory,
Authorization required,Remember me,,Se souvenir de moi,,replace,#idRememberMe > label,
Authorization required,Log in ,,Se connecter,,button,#ctl00_ContentArea_loginViewControl_loginControl_Login,
Authorization required,Forgot password,,Mot de passe oublié,,replace,#ctl00_ContentArea_loginViewControl_loginControl_forgottenPassword,
Access denied (403),"Sorry, but you have been denied access to the requested page or resource. (You might also see this message if you have been automatically logged out due to inactivity for reasons. Log out and log in again.) ",,"Désolé, mais l’accès à la page ou à la ressource demandée vous a été refusé. (Vous pouvez également voir ce message si vous avez été automatiquement déconnecté en raison d’une inactivité pour des raisons. Déconnectez-vous et reconnectez-vous.) ",,,,
Sys/403 error,Access denied,,Accès refusé,,,#id_bwHsR1l > div > ul > li.last > span,
Sys/403 error,Log out and log in again.,,Déconnectez-vous et reconnectez-vous.,,text,,
Sys/403 error,"Sorry, login has failed. Please check your email address and password and try again.",,"Désolé, la connexion a échoué. Veuillez vérifier votre adresse courriel et votre mot de passe et réessayer.",,text,,
Access denied,Home,,Accueil,,replace ,#id_451BEvO > div > div > a,
System Pages Access denied,Lapsed,,(Expiré),,text,#id_crVahno > div > div.loginBoxLapsedMembership,
,,,,,,,
MEMBERSHIP MANAGEMENT,,,,,,,
Sys/Membership level change,,,,,,,
Sys/Membership level change,Select membership level,Select membership category,Select catégorie de membre,,replace,#idMembershipLevelRadioGroupContainer > div > div.fieldLabel > strong,
Sys/Membership level change,Mandatory fields,,Champs obligatoires,,replace,#idGeneralFormContainer > div.generalFormContainer > div > div > div > div > div > div > div > div > div > div > div.formOuterContainer > div.formContainer > div > div > div > div > div > div > div > div > div > div > div.formTitleOuterContainer > div.formTitleContainer > div > div > div > div > div > div > div > div > div > div > div > strong,
Sys/Membership level change,Membership level,Membership category,Catégorie de membre,,replace,#idMembershipLevelRadioGroupContainer > div > div.fieldLabel > strong,
Sys/Membership level change,Please note: Your next renewal date will be based on your new level settings.,,,,replace,,
Sys/Membership level change,Cancel,,Annuler,,button,#FunctionalBlock1_ctl00_ctl00_stepTemplate_cancel,
Sys/Membership level change,Next ,,Suivant,,button,#FunctionalBlock1_ctl00_ctl00_stepTemplate_next,
,,,,,,,
Membership Bundles,,,,,,,
WaGadgetAddMemberToBundle,Add member to bundle,Add rights holder,Ajouter un ayant droit,,Inactive,#id_LShZuAf > div:nth-child(1) > h2:nth-child(2),
WaGadgetAddMemberToBundle,Add member to bundle,Add rights holder,Ajouter un ayant droit,,replace_element,#id_LShZuAf > div > h2,
WaGadgetAddMemberToBundle,Add member to bundle,,Ajouter un ayant droit,,Inactive,#id_LShZuAf,
,,,,,,,
WaGadgetAddMemberToBundle,Add member to bundle,Add rights holder,Ajouter un ayant droit,,replace_element,#idGeneralFormContainer > div.generalFormContainer > div > div > div > div > div > div > div > div > div > div > div:nth-child(2) > div.formContainer > div > div > div > div > div > div > div > div > div > div > div.formTitleOuterContainer > div.formTitleContainer > div > div > div > div > div > div > div > div > div > div > h3,
WaGadgetAddMemberToBundle,Bundle summary,Summary of the right holders,Récapitulatif des ayants droit,,inactive,h4:contains(Bundle summary),
WaGadgetAddMemberToBundle,Bundle limit,Maximum number of right holders,Nombre maximal d'ayants droit,,inactive,.fieldLabel:contains(Bundle limit),
WaGadgetAddMemberToBundle,Used so far,,Utilisé jusqu'à présent,,replace_element,#idParticipantsNumberContainer > div,
WaGadgetAddMemberToBundle,Your members,Your rights holders,Vos ayants droit,,replace_element,#idParticipantsListContainer > div > div.fieldLabel,
WaGadgetAddMemberToBundle,Bundle limit,Maximum number of right holders,Nombre maximal d'ayants droit,,replace_element,#idGroupLimitContainer > div > div.fieldLabel,
WaGadgetAddMemberToBundle,Used so far,,Utilisé jusqu'à présent,,replace_element,#idParticipantsNumberContainer > div > div.fieldLabel,
,,,,,,,
Membership Renewals,,,,,,,
Sys/Membership Renewal/Review and Confirm,Membership renewal,,Renouvellement de l'adhésion,,replace_element,#id_Qp6xvyc > div,
Sys/Membership Renewal/Review and Confirm,Review and confirm,,Réviser et confirmer,,replace_element,#FunctionalBlock1_ctl00_memberApplicationMain_ctl00_stepTemplate_infoMessageBox_messageHeader,
Sys/Membership Renewal/Review and Confirm,Renew to,,Renouvellement le ,,replace_element,#idInfoContainer > div.infoContainer > div > div > div > div > div > div > div > div > div > div > div.kvTable > div > div:nth-child(1) > div.infoTitle,
Sys/Membership Renewal/Review and Confirm,Level,Category,Catégorie,,replace_element,#FunctionalBlock1_ctl00_ctl00_stepTemplate_renewalHeader_level_levelText,
